player_id,player_name,position,team,p10,p25,p50,p75,p90,mean,p_10_plus,p_15_plus,p_20_plus,range_50,range_80,role_uncertainty,uncertainty,games_sample,same_team,team_change,rookie,prior_target_share,prior_rush_share,expected_team_pass_attempts,expected_team_rush_attempts,opponent,matchup_multiplier,matchup_source,opponent_points_allowed,league_points_allowed,calibration
00-0033280,Christian McCaffrey,RB,SF,8.942954076982677,13.084252308051404,19.143184314696256,27.928164032295456,35.04944495097982,20.58429156039241,0.90095,0.70365,0.47165,13.1–27.9,8.9–35.0,0.1210912342755387,low,61,1,0,0,0.2165592769343255,0.6203411256595369,33.76470588235294,28.294117647058822,LA,0.9274436526086514,prior_points_allowed,20.098730456790623,21.913128667046664,walk_forward_conformal
00-0039139,Jahmyr Gibbs,RB,DET,6.7355367236418955,10.731212742677664,16.761092498654723,25.63211725490072,32.787063587956055,18.231266329772847,0.82,0.59085,0.37015,10.7–25.6,6.7–32.8,0.1132508883055198,low,49,1,0,0,0.1422922215609296,0.5106754653262696,34.23529411764706,26.0,NO,0.9757204553978366,prior_points_allowed,21.305976241988816,21.913128667046664,walk_forward_conformal
00-0036900,Ja'Marr Chase,WR,CIN,6.265326541417268,10.36250168857315,16.259205847783726,25.425948315896523,34.267689906306416,17.95636396149397,0.76405,0.54985,0.36,10.4–25.4,6.3–34.3,0.1209683816465675,low,78,1,0,0,0.2907258866472007,0.0100041947569267,37.64705882352941,22.41176470588235,TB,1.0444096014815487,prior_points_allowed,33.95006327305384,32.31249226456602,walk_forward_conformal
00-0039075,Puka Nacua,WR,LA,6.461176216992082,10.415277602545748,16.043068418287532,24.875014367196655,33.539172080644434,17.70346855403091,0.768,0.54235,0.34665,10.4–24.9,6.5–33.5,0.1247599239078908,low,44,1,0,0,0.3035345718355029,0.0246278955254053,35.1764705882353,27.352941176470587,SF,1.014864860477786,prior_points_allowed,32.86062293342042,32.31249226456602,walk_forward_conformal
00-0036223,Jonathan Taylor,RB,IND,6.223614718309044,10.15580970425729,15.808613190720791,24.1192167027232,30.85291929557443,17.136201222200405,0.7951,0.551,0.32305,10.2–24.1,6.2–30.9,0.1084501928173907,low,69,1,0,0,0.0963556851787029,0.7155532011859398,32.1764705882353,26.0,BAL,0.97122299583503,prior_points_allowed,21.19350940931543,21.913128667046664,walk_forward_conformal
00-0039040,De'Von Achane,RB,MIA,6.261743578178903,9.922919173988138,15.323436665115064,23.638161268247902,30.40399891057354,16.831736398675947,0.7878,0.53025,0.3036,9.9–23.6,6.3–30.4,0.1192509794791092,low,44,1,0,0,0.1653878382774688,0.5316640908752178,28.176470588235293,25.41176470588235,LV,1.054154772417068,prior_points_allowed,23.267363350614364,21.913128667046664,walk_forward_conformal
00-0038542,Bijan Robinson,RB,ATL,6.843901493301839,10.38214717814487,15.50119023447202,23.21734440999624,29.467918558280893,16.783855212847104,0.80975,0.5423,0.29535,10.4–23.2,6.8–29.5,0.1201312914382813,low,51,1,0,0,0.1757223853322963,0.5792429024457437,32.05882352941177,28.058823529411764,PIT,0.9383373939053132,prior_points_allowed,20.37114748744744,21.913128667046664,walk_forward_conformal
00-0036358,CeeDee Lamb,WR,DAL,5.621574689833254,9.232450136340908,14.647109096596813,23.19540338610603,31.711263385597615,16.296844486510597,0.71295,0.48345,0.29655,9.2–23.2,5.6–31.7,0.1250069817273597,low,78,1,0,0,0.268458139742755,0.0204088993830551,36.705882352941174,27.352941176470587,NYG,1.0550534495614758,prior_points_allowed,34.34254725068376,32.31249226456602,walk_forward_conformal
00-0032764,Derrick Henry,RB,BAL,5.348547784453302,9.106149466218776,14.510258829423186,22.878559123522123,29.37554608888783,15.978875531392667,0.74775,0.48835,0.2778,9.1–22.9,5.3–29.4,0.1064345528133117,low,75,1,0,0,0.0602336727253731,0.6221895195718414,24.823529411764707,29.823529411764707,IND,1.0150069098162906,prior_points_allowed,22.288402661550393,21.913128667046664,walk_forward_conformal
00-0034844,Saquon Barkley,RB,PHI,5.869090685022287,9.197260170236468,14.292419499588238,22.31552918120383,29.061652820343063,15.845085889878844,0.7519,0.476,0.25935,9.2–22.3,5.9–29.1,0.1160478691978299,low,75,1,0,0,0.1315587987309737,0.6047888410655228,29.235294117647054,28.11764705882353,WAS,1.0725987478140864,prior_points_allowed,23.728587173939665,21.913128667046664,walk_forward_conformal
